Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.355769	2.680084	0.355769	6.29799	1.807747	0							0.362943	2.308
0.357434	2.683801	0.357434	6.298083	1.816072	0							0.364608	2.312484
0.359099	2.687874	0.359099	6.298102	1.824398	0							0.366273	2.316967
0.360763	2.692616	0.360763	6.298134	1.832723	0							0.367938	2.321436
0.362428	2.697058	0.362428	6.298101	1.841048	0							0.369603	2.325905
0.364093	2.701731	0.364093	6.29814	1.849374	0							0.371268	2.330373
0.365758	2.705934	0.365758	6.298135	1.857699	0							0.372933	2.334842
0.367423	2.710656	0.367423	6.298166	1.866024	0							0.374597	2.339311
0.369088	2.715757	0.369088	6.298214	1.87435	0							0.376262	2.343779
0.370753	2.720425	0.370753	6.298226	1.882675	0							0.377927	2.348248
0.372418	2.725559	0.372418	6.298215	1.891	0							0.379592	2.352716
0.374082	2.731219	0.374082	6.298189	1.899326	0							0.381257	2.357185
0.375747	2.736087	0.375747	6.298186	1.907651	0							0.382922	2.361654
0.377412	2.74161	0.377412	6.298208	1.915976	0							0.384587	2.366102
0.379077	2.745886	0.379077	6.298274	1.924302	0							0.386252	2.37055
0.380742	2.750003	0.380742	6.298305	1.932627	0							0.387917	2.374998
0.382407	2.754505	0.382407	6.298321	1.940952	0							0.389581	2.379446
0.384072	2.760798	0.384072	6.298291	1.949278	0							0.391246	2.383894
0.385737	2.766767	0.385737	6.298343	1.957603	0							0.392911	2.388342
0.387401	2.772033	0.387401	6.298422	1.965928	0							0.394576	2.392791
0.389066	2.776409	0.389066	6.298481	1.974254	0							0.396241	2.397239
0.390731	2.780915	0.390731	6.29849	1.982579	0							0.397906	2.401687
0.392396	2.784272	0.392396	6.298485	1.990904	0							0.399571	2.406135
0.394061	2.788926	0.394061	6.298577	1.99923	0							0.401236	2.410557
0.395726	2.793536	0.395726	6.298617	2.007555	0							0.4029	2.41498
0.397391	2.798812	0.397391	6.298637	2.015881	0							0.404565	2.419402
0.399056	2.804851	0.399056	6.298714	2.024206	0							0.40623	2.423824
0.40072	2.809593	0.40072	6.298741	2.032531	0							0.407895	2.428247
0.402385	2.815715	0.402385	6.298795	2.040856	0							0.40956	2.432669
0.40405	2.821123	0.40405	6.298911	2.049182	0							0.411225	2.437092
0.405715	2.825644	0.405715	6.29901	2.057507	0							0.41289	2.441514
0.40738	2.830268	0.40738	6.299078	2.065832	0							0.414555	2.445936
0.409045	2.834232	0.409045	6.299146	2.074158	0							0.416219	2.450359
0.41071	2.839331	0.41071	6.299205	2.082483	0							0.417884	2.454751
0.412375	2.84471	0.412375	6.299319	2.090808	0							0.419549	2.459142
0.414039	2.849997	0.414039	6.299314	2.099134	0							0.421214	2.463534
0.415704	2.854153	0.415704	6.29932	2.107459	0							0.422879	2.467926
0.417369	2.858772	0.417369	6.299383	2.115784	0							0.424544	2.472318
0.419034	2.863288	0.419034	6.299401	2.12411	0							0.426209	2.47671
0.420699	2.86899	0.420699	6.299423	2.132435	0							0.427874	2.481102
0.422364	2.875896	0.422364	6.299484	2.14076	0							0.429538	2.485493
0.424029	2.881821	0.424029	6.299589	2.149086	0							0.431203	2.489885
0.425694	2.887208	0.425694	6.299648	2.157411	0							0.432868	2.494277
0.427359	2.893551	0.427359	6.29975	2.165736	0							0.434533	2.500851
0.429023	2.898644	0.429023	6.299838	2.174062	0							0.436198	2.507424
0.430688	2.906216	0.430688	6.299953	2.182387	0							0.437863	2.513998
0.432353	2.913044	0.432353	6.300107	2.190712	0							0.439528	2.520571
0.434018	2.920221	0.434018	6.300101	2.199038	0							0.441193	2.527144
0.435683	2.92693	0.435683	6.300101	2.207363	0							0.442857	2.533718
